Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
ABBOTINDIA,EQ,31300,-1.25,32200,31900,05-Jun-2025
ABINFRA,BE,139,-1.64,144,144,03-Jun-2025
ANURAS,EQ,1045,0.08,1056,1048.5,05-Jun-2025
AONETOTAL,EQ,11.7,1.3,11.9,11.69,20-May-2025
APLAPOLLO,EQ,1922,0.37,1924.8,1920,05-Jun-2025
APOLLO,EQ,204.45,-0.74,211.43,208,05-Jun-2025
ARKADE,EQ,197.3,7.19,198.19,195.97,29-May-2025
ASTRAZEN,EQ,9775,-1.1,10050,10033,04-Jun-2025
ATALREAL,EQ,16.42,5.05,16.98,16.65,28-May-2025
AUBANK,EQ,748.4,3.94,755.5,755.4,19-Sep-2024
AXISBNKETF,EQ,578.25,1.47,578.25,572.68,03-Jun-2025
AXISCADES,BE,1095.4,-3.15,1164.3,1148.4,03-Jun-2025
AXISILVER,EQ,105.95,1.05,107.4,106,05-Jun-2025
BAJAJHLDNG,EQ,14245,5.66,14740,14400,19-May-2025
BAJAJINDEF,EQ,327.98,14.49,340.8,295.05,21-Feb-2025
BANKBEES,EQ,582.4,1.86,582.4,578,03-Jun-2025
BANKETF,EQ,571.59,1.69,572.04,567.97,02-Jun-2025
BANKIETF,EQ,57.33,1.02,58.45,58.17,30-May-2025
BANKNIFTY1,EQ,581.61,1.63,586.58,583.45,03-Jun-2025
BEL,EQ,390.9,-0.66,396.85,394.7,05-Jun-2025
BLUEWATER,ST,153.1,-4.97,163.4,162.35,05-Jun-2025
BSE,EQ,2933.8,0.82,2985,2918,05-Jun-2025
COMSYN,EQ,128.75,2.62,129.97,129.14,05-Jun-2025
EBANKNIFTY,EQ,56.45,1.16,56.84,56.5,05-May-2025
ESILVER,EQ,106.7,1.39,108,107.5,05-Jun-2025
FIEMIND,EQ,1885,0.98,1906,1902,05-Jun-2025
FINIETF,EQ,31,3.78,31,30.4,04-Jun-2025
FMGOETZE,EQ,510.4,5.66,528.4,494.95,05-Jun-2025
FORCEMOT,EQ,12500,-2,12893,12835,05-Jun-2025
FORTIS,EQ,762.5,1.03,767.85,756.9,05-Jun-2025
GINNIFILA,BE,43.2,2.73,44.15,42.05,05-Jun-2025
GODREJIND,EQ,1337,12.31,1390,1314,06-Sep-2024
GOLDCASE,EQ,15.42,-0.58,15.98,15.92,07-May-2025
GOLDSHARE,EQ,82.25,-0.66,84.85,84.35,22-Apr-2025
GROWWGOLD,EQ,96,-0.69,101.02,98.88,22-Apr-2025
GROWWSLVR,EQ,105.75,2.19,106,104.88,05-Jun-2025
GSEC10IETF,EQ,260.25,0.95,260.25,260,21-Apr-2025
GVT&D,EQ,2300.9,-5,2464,2449,05-Jun-2025
HDFCAMC,EQ,5101.6,6.38,5157.8,4939.4,03-Jun-2025
HDFCBANK,EQ,1978,1.46,1996.3,1978.9,23-Apr-2025
HDFCNIFBAN,EQ,57.64,1.43,57.87,57.37,23-Apr-2025
HDFCSILVER,EQ,102.95,2.15,103.8,101.4,05-Jun-2025
INM,ST,529,0.57,529,526,05-Jun-2025
JKCEMENT,EQ,5870,2.71,5900,5751,05-Jun-2025
KRBL,EQ,372.1,1.5,376,375,05-Jun-2025
KRISHANA,EQ,448.45,0.49,449.1,449,05-Jun-2025
KRISHIVAL,SM,349.15,4.99,349.15,332.95,18-Sep-2024
LIQUIDSBI,EQ,1000.01,0,1000.01,1000.01,05-Jun-2025
LLOYDSENT,EQ,69.5,6.76,71.5,68.15,04-Jun-2025
LLOYDSME,EQ,1453.4,-4.86,1539.8,1533.5,05-Jun-2025
LTFOODS,EQ,475.15,4.07,483.95,464.95,05-Jun-2025
LUMAXIND,EQ,3105,2.77,3178,3130,05-Jun-2025
MAHSCOOTER,EQ,14341,5.9,14482,14170,26-May-2025
MAL,ST,49.6,0.71,50.4,49.75,05-Jun-2025
MANAKCOAT,EQ,127.45,7.83,130,118.99,01-Jan-2025
MANAPPURAM,EQ,247.8,5.64,248.95,247.6,21-Mar-2025
MANCREDIT,EQ,187.98,-4.99,201,200.2,05-Jun-2025
MCLOUD,EQ,79.18,-2.28,84.5,83.85,26-May-2025
MCX,EQ,7415,4.45,7531,7145,05-Jun-2025
MODEFENCE,EQ,97.78,-1.73,101.98,99.9,05-Jun-2025
MOMGF,EQ,142.29,0.79,142.29,142.13,29-May-2025
MOPSE,EQ,99.8,0.52,99.95,99.4,05-Jun-2025
MUTHOOTFIN,EQ,2454.8,6.98,2470,2435.4,20-Mar-2025
NDRAUTO,EQ,1064.75,0.43,1098,1090,05-Jun-2025
NIKITA,ST,94.9,4.98,94.9,92.5,03-Jun-2025
OBSCP,SM,255.2,5,255.2,248.65,03-Jun-2025
ONESOURCE,EQ,1949,-0.74,2002.5,1989.1,05-Jun-2025
ORICONENT,EQ,47.03,-3.71,52.35,48.84,05-Jun-2025
PKTEA,EQ,943.7,6.93,1013.9,935,19-May-2025
PRIVISCL,EQ,2293,-10.57,2584.8,2574,05-Jun-2025
RAJRILTD,BE,29.41,1.98,29.41,28.84,05-Jun-2025
REXPIPES,ST,119.55,4.96,119.55,116.55,03-Jun-2025
RHFL,BE,6.41,4.91,6.41,6.11,05-Jun-2025
SBICARD,EQ,993.5,5.2,999.45,946.5,04-Jun-2025
SBISILVER,EQ,105,2.23,105.25,103.7,05-Jun-2025
SCODATUBES,BE,153.05,-0.84,160.5,154.35,05-Jun-2025
SETFNIFBK,EQ,573.38,1.01,577.23,574.97,23-Apr-2025
SHANKARA,EQ,935,1.77,958,927.8,05-Jun-2025
SILVER,EQ,106.26,1.34,108.01,105.49,05-Jun-2025
